name,postcode,last_processed,changesets
Queenscliff,2096,,
Collaroy,2097,,
Collaroy Plateau,2097,,
Wheeler Heights,2097,,
Cromer,2099,,
Dee Why,2099,,
Narraweena,2099,,
North Curl Curl,2099,,
Allambie Heights,2100,,
Beacon Hill,2100,,
Brookvale,2100,,
North Manly,2100,,
Oxford Falls,2100,,
Elanora Heights,2101,,
Ingleside,2101,,
Narrabeen,2101,,
North Narrabeen,2101,,
Warriewood,2102,,
Mona Vale,2103,,
Bayview,2104,,
Church Point,2105,,
Elvina Bay,2105,,
Lovett Bay,2105,,
McCarrs Creek,2105,,
Morning Bay,2105,,
Pittwater,2105,,
Scotland Island,2105,,
Newport,2106,,
Avalon Beach,2107,,
Bilgola Beach,2107,,
Bilgola Plateau,2107,,
Clareville,2107,,
Whale Beach,2107,,
Coasters Retreat,2108,,
Currawong Beach,2108,,
Great Mackerel Beach,2108,,
Palm Beach,2108,,
Hunters Hill,2110,,
Woolwich,2110,,
Gladesville,2111,,
Henley,2111,,
Huntleys Cove,2111,,
Huntleys Point,2111,,
Tennyson Point,2111,,
Denistone East,2112,,
Putney,2112,,
Ryde,2112,,
East Ryde,2113,,
Macquarie Park,2113,,
North Ryde,2113,,
Denistone,2114,,
Denistone West,2114,,
Meadowbank,2114,,
Melrose Park,2114,,
West Ryde,2114,,
Ermington,2115,,
Rydalmere,2116,,
Dundas,2117,,
Dundas Valley,2117,,
Oatlands,2117,,
Telopea,2117,,
Carlingford,2118,,
Beecroft,2119,,
Cheltenham,2119,,
Pennant Hills,2120,,
Thornleigh,2120,,
Westleigh,2120,,
Epping,2121,,
North Epping,2121,,
Eastwood,2122,,
Marsfield,2122,,
West Pennant Hills,2125,,
Cherrybrook,2126,,
Newington,2127,,
Sydney Olympic Park,2127,,
Wentworth Point,2127,,
Silverwater,2128,,
Summer Hill,2130,,
Ashfield,2131,,
Croydon,2132,,
Croydon Park,2133,,
Burwood,2134,,
Strathfield,2135,,
Burwood Heights,2136,,
Enfield,2136,,
Strathfield South,2136,,
Breakfast Point,2137,,
Cabarita,2137,,
Concord,2137,,
Mortlake,2137,,
North Strathfield,2137,,
Concord West,2138,,
Liberty Grove,2138,,
Rhodes,2138,,
Homebush,2140,,
Homebush West,2140,,
Berala,2141,,
Lidcombe,2141,,
Rookwood,2141,,
Camellia,2142,,
Clyde,2142,,
Granville,2142,,
Holroyd,2142,,
Rosehill,2142,,
South Granville,2142,,
Birrong,2143,,
Potts Hill,2143,,
Regents Park,2143,,
Auburn,2144,,
Constitution Hill,2145,,
Girraween,2145,,
Greystanes,2145,,
Mays Hill,2145,,
Pemulwuy,2145,,
Pendle Hill,2145,,
South Wentworthville,2145,,
Wentworthville,2145,,
Westmead,2145,,
Old Toongabbie,2146,,
Toongabbie,2146,,
Kings Langley,2147,,
Lalor Park,2147,,
Seven Hills,2147,,
Arndell Park,2148,,
Blacktown,2148,,
Huntingwood,2148,,
Kings Park,2148,,
Marayong,2148,,
Prospect,2148,,
Harris Park,2150,,
Parramatta,2150,,
North Parramatta,2151,,
North Rocks,2151,,
Northmead,2152,,
Baulkham Hills,2153,,
Bella Vista,2153,,
Norwest,2153,,
Winston Hills,2153,,
Castle Hill,2154,2020-10-17,92588439
Beaumont Hills,2155,,
Kellyville,2155,,
Kellyville Ridge,2155,,
North Kellyville,2155,,
Rouse Hill,2155,,
Annangrove,2156,,
Glenhaven,2156,,
Kenthurst,2156,,
Canoelands,2157,,
Forest Glen,2157,,
Glenorie,2157,,
Dural,2158,,
Middle Dural,2158,,
Arcadia,2159,,
Berrilee,2159,,
Fiddletown,2159,,
Galston,2159,,
Merrylands,2160,,
Merrylands West,2160,,
Guildford,2161,,
Guildford West,2161,,
Old Guildford,2161,,
Yennora,2161,,
Chester Hill,2162,,
Sefton,2162,,
Carramar,2163,,
Lansdowne,2163,,
Villawood,2163,,
Smithfield,2164,,
Wetherill Park,2164,,
Woodpark,2164,,
Fairfield,2165,,
Fairfield East,2165,,
Fairfield Heights,2165,,
Fairfield West,2165,,
Cabramatta,2166,,
Cabramatta West,2166,,
Canley Heights,2166,,
Canley Vale,2166,,
Lansvale,2166,,
Glenfield,2167,,
Ashcroft,2168,,
Busby,2168,,
Cartwright,2168,,
Green Valley,2168,,
Heckenberg,2168,,
Hinchinbrook,2168,,
Miller,2168,,
Sadleir,2168,,
Casula,2170,,
Chipping Norton,2170,,
Hammondville,2170,,
Liverpool,2170,,
Lurnea,2170,,
Moorebank,2170,,
Mount Pritchard,2170,,
Prestons,2170,,
Warwick Farm,2170,,
Carnes Hill,2171,,
Cecil Hills,2171,,
Elizabeth Hills,2171,,
Horningsea Park,2171,,
Hoxton Park,2171,,
Len Waters Estate,2171,,
Middleton Grange,2171,,
West Hoxton,2171,,
Pleasure Point,2172,,
Sandy Point,2172,,
Voyager Point,2172,,
Holsworthy,2173,,
Wattle Grove,2173,,
Edmondson Park,2174,,
Horsley Park,2175,,
Abbotsbury,2176,,
Bossley Park,2176,,
Edensor Park,2176,,
Greenfield Park,2176,,
Prairiewood,2176,,
St Johns Park,2176,,
Wakeley,2176,,
Bonnyrigg,2177,,
Bonnyrigg Heights,2177,,
Cecil Park,2178,,
Kemps Creek,2178,,
Mount Vernon,2178,,
Austral,2179,,
Leppington,2179,,
Chullora,2190,,
Greenacre,2190,,
Mount Lewis,2190,,
Belfield,2191,,
Belmore,2192,,
Ashbury,2193,,
Canterbury,2193,,
Hurlstone Park,2193,,
Campsie,2194,,
Lakemba,2195,,
Wiley Park,2195,,
Punchbowl,2196,,
Roselands,2196,,
Bass Hill,2197,,
Georges Hall,2198,,
Yagoona,2199,,
Bankstown,2200,,
Bankstown Aerodrome,2200,,
Condell Park,2200,,
Dulwich Hill,2203,,
Marrickville,2204,,
Arncliffe,2205,,
Turrella,2205,,
Wolli Creek,2205,,
Clemton Park,2206,,
Earlwood,2206,,
Bardwell Park,2207,,
Bardwell Valley,2207,,
Bexley,2207,,
Bexley North,2207,,
Kingsgrove,2208,,
Beverly Hills,2209,,
Narwee,2209,,
Lugarno,2210,,
Peakhurst,2210,,
Peakhurst Heights,2210,,
Riverwood,2210,,
Padstow,2211,,
Padstow Heights,2211,,
Revesby,2212,,
Revesby Heights,2212,,
East Hills,2213,,
Panania,2213,,
Picnic Point,2213,,
Milperra,2214,,
Banksia,2216,,
Brighton-Le-Sands,2216,,
Kyeemagh,2216,,
Rockdale,2216,,
Beverley Park,2217,,
Kogarah,2217,,
Kogarah Bay,2217,,
Monterey,2217,,
Ramsgate,2217,,
Ramsgate Beach,2217,,
Allawah,2218,,
Carlton,2218,,
Dolls Point,2219,,
Sandringham,2219,,
Sans Souci,2219,,
Hurstville,2220,,
Hurstville Grove,2220,,
Blakehurst,2221,,
Carss Park,2221,,
Connells Point,2221,,
Kyle Bay,2221,,
South Hurstville,2221,,
Penshurst,2222,,
Mortdale,2223,,
Oatley,2223,,
Kangaroo Point,2224,,
Sylvania,2224,,
Sylvania Waters,2224,,
Oyster Bay,2225,,
Bonnet Bay,2226,,
Como,2226,,
Jannali,2226,,
Gymea,2227,,
Gymea Bay,2227,,
Miranda,2228,,
Yowie Bay,2228,,
Caringbah,2229,,
Caringbah South,2229,,
Dolans Bay,2229,,
Lilli Pilli,2229,,
Port Hacking,2229,,
Taren Point,2229,,
Bundeena,2230,,
Burraneer,2230,,
Cronulla,2230,,
Greenhills Beach,2230,,
Maianbar,2230,,
Woolooware,2230,,
Kurnell,2231,,
Grays Point,2232,,
Kareela,2232,,
Kirrawee,2232,,
Loftus,2232,,
Royal National Park,2232,,
Sutherland,2232,,
Woronora,2232,,
Engadine,2233,,
Heathcote,2233,,
Waterfall,2233,,
Woronora Heights,2233,,
Yarrawarrah,2233,,
Alfords Point,2234,,
Bangor,2234,,
Barden Ridge,2234,,
Illawong,2234,,
Lucas Heights,2234,,
Menai,2234,,
Bucketty,2250,,
Calga,2250,,
Central Mangrove,2250,,
East Gosford,2250,,
Erina,2250,,
Glenworth Valley,2250,,
Gosford,2250,,
Greengrove,2250,,
Holgate,2250,,
Kariong,2250,,
Kulnura,2250,,
Lisarow,2250,,
Lower Mangrove,2250,,
Mangrove Creek,2250,,
Mangrove Mountain,2250,,
Matcham,2250,,
Mooney Mooney Creek,2250,,
Mount Elliot,2250,,
Mount White,2250,,
Narara,2250,,
Niagara Park,2250,,
North Gosford,2250,,
Peats Ridge,2250,,
Point Clare,2250,,
Point Frederick,2250,,
Somersby,2250,,
Springfield,2250,,
Tascott,2250,,
Ten Mile Hollow,2250,,
Upper Mangrove,2250,,
Wendoree Park,2250,,
West Gosford,2250,,
Wyoming,2250,,
Avoca Beach,2251,,
Bensville,2251,,
Bouddi,2251,,
Copacabana,2251,,
Davistown,2251,,
Green Point,2251,,
Kincumber,2251,,
Kincumber South,2251,,
MacMasters Beach,2251,,
Picketts Valley,2251,,
Saratoga,2251,,
Yattalunga,2251,,
Blackwall,2256,,
Horsfield Bay,2256,,
Koolewong,2256,,
Little Wobby,2256,,
Patonga,2256,,
Pearl Beach,2256,,
Phegans Bay,2256,,
Wondabyne,2256,,
Woy Woy,2256,,
Woy Woy Bay,2256,,
Booker Bay,2257,,
Box Head,2257,,
Daleys Point,2257,,
Empire Bay,2257,,
Ettalong Beach,2257,,
Hardys Bay,2257,,
Killcare,2257,,
Killcare Heights,2257,,
Pretty Beach,2257,,
St Huberts Island,2257,,
Umina Beach,2257,,
Wagstaffe,2257,,
Fountaindale,2258,,
Kangy Angy,2258,,
Ourimbah,2258,,
Palm Grove,2258,,
Palmdale,2258,,
Alison,2259,,
Bushells Ridge,2259,,
Cedar Brush Creek,2259,,
Chain Valley Bay,2259,,
Crangan Bay,2259,,
Dooralong,2259,,
Durren Durren,2259,,
Frazer Park,2259,,
Freemans,2259,,
Gwandalan,2259,,
Halloran,2259,,
Hamlyn Terrace,2259,,
Jilliby,2259,,
Kanwal,2259,,
Kiar,2259,,
Kingfisher Shores,2259,,
Lake Munmorah,2259,,
Lemon Tree,2259,,
Little Jilliby,2259,,
Mannering Park,2259,,
Mardi,2259,,
Moonee,2259,,
Point Wolstoncroft,2259,,
Ravensdale,2259,,
Rocky Point,2259,,
Summerland Point,2259,,
Tacoma,2259,,
Tacoma South,2259,,
Tuggerah,2259,,
Tuggerawong,2259,,
Wadalba,2259,,
Wallarah,2259,,
Warnervale,2259,,
Watanobbi,2259,,
Woongarrah,2259,,
Wybung,2259,,
Wyee,2259,,
Wyee Point,2259,,
Wyong,2259,,
Wyong Creek,2259,,
Wyongah,2259,,
Yarramalong,2259,,
Erina Heights,2260,,
Forresters Beach,2260,,
North Avoca,2260,,
Terrigal,2260,,
Wamberal,2260,,
Bateau Bay,2261,,
Berkeley Vale,2261,,
Blue Bay,2261,,
Chittaway Bay,2261,,
Chittaway Point,2261,,
Glenning Valley,2261,,
Killarney Vale,2261,,
Long Jetty,2261,,
Magenta,2261,,
Shelly Beach,2261,,
The Entrance,2261,,
The Entrance North,2261,,
Toowoon Bay,2261,,
Tumbi Umbi,2261,,
Blue Haven,2262,,
Budgewoi,2262,,
Budgewoi Peninsula,2262,,
Buff Point,2262,,
Colongra,2262,,
Doyalson,2262,,
Doyalson North,2262,,
Halekulani,2262,,
San Remo,2262,,
Canton Beach,2263,,
Charmhaven,2263,,
Gorokan,2263,,
Lake Haven,2263,,
Norah Head,2263,,
Noraville,2263,,
Toukley,2263,,
Balcolyn,2264,,
Bonnells Bay,2264,,
Brightwaters,2264,,
Dora Creek,2264,,
Eraring,2264,,
Mandalong,2264,,
Mirrabooka,2264,,
Morisset,2264,,
Morisset Park,2264,,
Myuna Bay,2264,,
Silverwater,2264,,
Sunshine,2264,,
Windermere Park,2264,,
Yarrawonga Park,2264,,
Cooranbong,2265,,
Martinsville,2265,,
Wangi Wangi,2267,,
Barnsley,2278,2021-02-10,99007483
Killingworth,2278,,
Wakefield,2278,,
Belmont,2280,,
Belmont North,2280,,
Belmont South,2280,,
Croudace Bay,2280,,
Floraville,2280,,
Jewells,2280,,
Marks Point,2280,,
Valentine,2280,,
Blacksmiths,2281,,
Cams Wharf,2281,,
Catherine Hill Bay,2281,,
Caves Beach,2281,,
Little Pelican,2281,,
Murrays Beach,2281,,
Nords Wharf,2281,,
Pelican,2281,,
Pinny Beach,2281,,
Swansea,2281,,
Swansea Heads,2281,,
Eleebana,2282,,
Lakelands,2282,,
Warners Bay,2282,,
Arcadia Vale,2283,,
Awaba,2283,,
Balmoral,2283,,
Blackalls Park,2283,,
Bolton Point,2283,,
Buttaba,2283,,
Carey Bay,2283,,
Coal Point,2283,,
Fassifern,2283,,
Fennell Bay,2283,,
Fishing Point,2283,,
Kilaben Bay,2283,,
Lake Macquarie,2283,,
Rathmines,2283,,
Ryhope,2283,,
Toronto,2283,,
Argenton,2284,,
Boolaroo,2284,2021-01-29,98349128
Booragul,2284,,
Marmong Point,2284,,
Speers Point,2284,,
Teralba,2284,,
Woodrising,2284,,
Cameron Park,2285,,
Cardiff,2285,,
Cardiff Heights,2285,,
Cardiff South,2285,,
Edgeworth,2285,,
Glendale,2285,,
Macquarie Hills,2285,,
Holmesville,2286,,
Seahampton,2286,2021-02-08,98890179
West Wallsend,2286,,
Birmingham Gardens,2287,,
Elermore Vale,2287,,
Fletcher,2287,2021-02-17,99433575
Maryland,2287,2021-02-24,99884625
Minmi,2287,,
Rankin Park,2287,,
Wallsend,2287,,
Adamstown,2289,,
Adamstown Heights,2289,,
Garden Suburb,2289,,
Highfields,2289,,
Kotara,2289,,
Kotara South,2289,,
Bennetts Green,2290,,
Charlestown,2290,,
Dudley,2290,,
Gateshead,2290,,
Hillsborough,2290,,
Kahibah,2290,,
Mount Hutton,2290,,
Redhead,2290,,
Tingira Heights,2290,,
Whitebridge,2290,,
Merewether,2291,,
Merewether Heights,2291,,
The Junction,2291,,
Broadmeadow,2292,,
Hamilton North,2292,,
Maryville,2293,,
Wickham,2293,,
Carrington,2294,,
Fern Bay,2295,,
Stockton,2295,,
Islington,2296,,
Tighes Hill,2297,,
Georgetown,2298,,
Waratah,2298,,
Waratah West,2298,,
Jesmond,2299,,
Lambton,2299,,
North Lambton,2299,,
Bar Beach,2300,,
Cooks Hill,2300,,
Newcastle,2300,,
Newcastle East,2300,,
The Hill,2300,,
Newcastle West,2302,,
Hamilton,2303,,
Hamilton East,2303,,
Hamilton South,2303,,
Kooragang,2304,,
Mayfield,2304,,
Mayfield East,2304,,
Mayfield North,2304,,
Mayfield West,2304,,
Sandgate,2304,2021-02-17,99434170
Warabrook,2304,,
New Lambton,2305,2021-03-10,100738906
New Lambton Heights,2305,2021-03-10,100737730
Windale,2306,2021-03-10,100737245
Shortland,2307,2021-02-24,99886000
Callaghan,2308,2021-03-10,100736990
Allynbrook,2311,2021-03-07,N/A
Bingleburra,2311,2021-03-07,N/A
Carrabolla,2311,2021-03-07,N/A
East Gresford,2311,2021-03-07,100559496
Eccleston,2311,2021-03-07,N/A
Gresford,2311,2021-03-07,100559489
Halton,2311,2021-03-07,N/A
Lewinsbrook,2311,2021-03-07,N/A
Lostock,2311,2021-03-07,N/A
Mount Rivers,2311,2021-03-07,N/A
Upper Allyn,2311,2021-03-07,N/A
Minimbah,2312,2021-03-07,N/A
Nabiac,2312,2021-03-07,100559429
Corlette,2315,2021-03-07,100559416
Fingal Bay,2315,2021-03-07,100559086
Nelson Bay,2315,2021-03-07,100559326
Shoal Bay,2315,2021-03-07,100559265
Anna Bay,2316,2021-03-07,100558810
Boat Harbour,2316,2021-03-07,100558604
Bobs Farm,2316,2021-03-07,100558870
Fishermans Bay,2316,2021-03-07,N/A
One Mile,2316,2021-03-07,100558643
Taylors Beach,2316,2021-03-07,100558510
Port Stephens,2317,2021-03-07,N/A
Salamander Bay,2317,2021-03-07,100558320
Soldiers Point,2317,2021-03-07,100558220
Campvale,2318,2021-03-04,100399306
Ferodale,2318,2021-03-04,100399085
Fullerton Cove,2318,2021-03-04,100402091
Medowie,2318,2021-03-04,100404210
Oyster Cove,2318,2021-03-04,100399418
Salt Ash,2318,2021-03-04,100399848
Williamtown,2318,2021-03-04,100402475
Lemon Tree Passage,2319,2021-03-04,100397768
Mallabula,2319,2021-03-04,100398028
Tanilba Bay,2319,2021-03-04,100398460
Tilligerry Creek,2319,2021-03-04,N/A
Aberglasslyn,2320,2020-10-15,92498941
Allandale,2320,2021-02-27,100083776
Anambah,2320,2020-10-15,N/A
Bolwarra,2320,2020-11-29,94971763
Bolwarra Heights,2320,2020-11-29,94972642
Farley,2320,2020-10-16,N/A
Glen Oak,2320,2021-02-27,N/A
Gosforth,2320,2020-10-15,92519236
Hillsborough,2320,2020-10-16,N/A
Horseshoe Bend,2320,2020-10-16,N/A
Keinbah,2320,2021-02-27,N/A
Largs,2320,2020-12-17,95994787
Lorn,2320,2020-10-17,92621058
Louth Park,2320,2020-12-19,96096851
Maitland,2320,2020-10-16,92560866
Maitland Vale,2320,2020-10-16,N/A
Melville,2320,2020-10-16,N/A
Mindaribba,2320,2021-02-27,100083824
Mount Dee,2320,2020-10-15,N/A
Oakhampton,2320,2020-10-15,N/A
Oakhampton Heights,2320,2020-10-15,N/A
Pokolbin,2320,2021-02-27,100083929
Rosebrook,2320,2020-10-16,N/A
Rothbury,2320,2021-02-27,100083873
Rutherford,2320,2020-10-14,92474507
South Maitland,2320,2020-11-16,94189368
Telarah,2320,2020-10-15,92504617
Wallalong,2320,2021-02-27,100083854
Windella,2320,2020-10-16,92554442
Berry Park,2321,2021-01-12,96794443
Butterwick,2321,2021-03-01,100180770
Clarence Town,2321,2021-03-01,100180974
Cliftleigh,2321,2021-01-16,97594783
Duckenfield,2321,2021-01-12,96794464
Duns Creek,2321,2021-03-01,100181949
Gillieston Heights,2321,2020-11-24,94697465
Glen Martin,2321,2021-03-01,N/A
Glen William,2321,2021-03-01,100182217
Harpers Hill,2321,2021-03-01,100182657
Heddon Greta,2321,2021-01-16,97594844
Hinton,2321,2021-01-29,98348180
Lochinvar,2321,2020-10-16,92554729
Luskintyre,2321,2021-02-14,N/A
Morpeth,2321,2020-12-21,96177300
Oswald,2321,2021-02-14,N/A
Phoenix Park,2321,2020-12-21,96177671
Raworth,2321,2020-12-21,96177008
Windermere,2321,2020-10-16,N/A
Woodville,2321,2021-03-01,100182524
Beresfield,2322,2020-11-26,94815527
Black Hill,2322,2021-03-02,100259976
Chisholm,2322,2021-01-16,97594446
Hexham,2322,2021-03-02,100260299
Lenaghan,2322,2021-03-02,100260083
Stockrington,2322,2021-03-02,N/A
Tarro,2322,2020-11-26,94814621
Thornton,2322,2021-01-16,97594721
Tomago,2322,2021-03-02,100260641
Woodberry,2322,2020-11-26,94814379
Ashtonfield,2323,2020-11-23,94620164
Brunkerville,2323,,
Buchanan,2323,,
Buttai,2323,,
East Maitland,2323,2020-12-13,95749596
Freemans Waterhole,2323,,
Metford,2323,2020-12-19,96096803
Mount Vincent,2323,,
Mulbring,2323,,
Pitnacree,2323,,
Richmond Vale,2323,,
Tenambit,2323,2020-11-21,94526703
Balickera,2324,,
Brandy Hill,2324,,
Bundabah,2324,,
Carrington,2324,,
Eagleton,2324,,
East Seaham,2324,,
Hawks Nest,2324,,
Heatherbrae,2324,2021-01-12,96793008
Karuah,2324,,
Kings Hill,2324,,
Limeburners Creek,2324,,
Millers Forest,2324,2021-01-12,96794497
Nelsons Plains,2324,,
North Arm Cove,2324,,
Osterley,2324,,
Pindimar,2324,,
Raymond Terrace,2324,2021-01-12,96792799
Seaham,2324,,
Swan Bay,2324,,
Tahlee,2324,,
Tea Gardens,2324,,
Twelve Mile Creek,2324,,
Aberdare,2325,,
Abernethy,2325,2020-12-19,96097011
Bellbird,2325,,
Bellbird Heights,2325,,
Cedar Creek,2325,,
Cessnock,2325,,
Congewai,2325,,
Corrabare,2325,,
Dairy Arm,2325,,
Ellalong,2325,,
Elrington,2325,,
Fernances Crossing,2325,,
Greta Main,2325,,
Kearsley,2325,,
Kitchener,2325,2020-12-19,96097019
Laguna,2325,,
Lovedale,2325,,
Millfield,2325,,
Mount View,2325,,
Murrays Run,2325,,
Nulkaba,2325,,
Olney,2325,,
Paxton,2325,,
Paynes Crossing,2325,,
Pelton,2325,,
Quorrobolong,2325,,
Sweetmans Creek,2325,,
Watagan,2325,,
Wollombi,2325,,
Yengo National Park,2325,,
Abermain,2326,,
Bishops Bridge,2326,2021-01-29,98347812
Loxford,2326,2021-01-29,98346181
Neath,2326,,
Sawyers Gully,2326,2021-01-29,98347935
Weston,2326,2021-01-29,98345943
Kurri Kurri,2327,2021-01-29,98344898
Pelaw Main,2327,,
Stanford Merthyr,2327,,
Bureen,2328,2021-04-06,N/A
Dalswinton,2328,2021-04-06,N/A
Denman,2328,2021-04-06,102405051
Giants Creek,2328,2021-04-06,N/A
Hollydeen,2328,2021-04-06,N/A
Kerrabee,2328,2021-04-06,N/A
Mangoola,2328,2021-04-06,N/A
Martindale,2328,2021-04-06,N/A
Widden,2328,2021-04-06,N/A
Yarrawa,2328,2021-04-06,N/A
Cassilis,2329,2021-04-06,N/A
Merriwa,2329,2021-04-06,N/A
Uarbry,2329,2021-04-06,N/A
Appletree Flat,2330,2021-03-31,N/A
Big Ridge,2330,2021-03-31,102036813
Bowmans Creek,2330,2021-03-31,N/A
Bridgman,2330,2021-03-31,102036221
Broke,2330,2021-03-31,N/A
Bulga,2330,2021-03-31,N/A
Camberwell,2330,2021-03-31,102040659
Carrowbrook,2330,2021-03-31,N/A
Clydesdale,2330,2021-03-31,102036813
Combo,2330,2021-03-31,N/A
Darlington,2330,2021-03-31,102041474
Doyles Creek,2330,2021-03-31,102042133
Dunolly,2330,2021-04-06,102404324
Dural,2330,2021-03-31,N/A
Dyrring,2330,2021-03-31,N/A
Falbrook,2330,2021-03-31,N/A
Fern Gully,2330,2021-03-31,N/A
Fordwich,2330,2021-03-31,N/A
Garland Valley,2330,2021-03-31,N/A
Glendon,2330,2021-03-31,102042308
Glendon Brook,2330,2021-03-31,102036221
Glennies Creek,2330,2021-03-31,N/A
Glenridding,2330,2021-04-06,102404628
Goorangoola,2330,2021-03-31,N/A
Gouldsville,2330,2021-03-31,N/A
Gowrie,2330,2021-03-31,102042753
Greenlands,2330,2021-03-31,N/A
Hambledon Hill,2330,2021-03-31,N/A
Hebden,2330,2021-03-31,102042008
Howes Valley,2330,2021-03-31,N/A
Howick,2330,2021-03-31,N/A
Hunterview,2330,2021-03-31,102043059
Jerrys Plains,2330,2021-03-31,N/A
Lemington,2330,2021-03-31,N/A
Long Point,2330,2021-03-31,N/A
Maison Dieu,2330,2021-03-31,N/A
Mcdougalls Hill,2330,2021-03-31,102042753
Middle Falbrook,2330,2021-03-31,N/A
Milbrodale,2330,2021-03-31,102034888
Mirannie,2330,2021-03-31,102036221
Mitchells Flat,2330,2021-03-31,102041658
Mount Olive,2330,2021-03-31,N/A
Mount Royal,2330,2021-03-31,N/A
Mount Thorley,2330,2021-03-31,N/A
Obanvale,2330,2021-03-31,N/A
Putty,2330,2021-03-31,N/A
Ravensworth,2330,2021-03-31,N/A
Redbournberry,2330,2021-03-31,N/A
Reedy Creek,2330,2021-03-31,N/A
Rixs Creek,2330,2021-03-31,N/A
Roughit,2330,2021-03-31,102042308
Scotts Flat,2330,2021-03-31,102041863
Sedgefield,2330,2021-03-31,102036813
Singleton,2330,2021-04-06,102404628
Singleton Heights,2330,2021-04-06,102404324
Singleton Military Area,2330,2021-03-31,N/A
St Clair,2330,2021-03-31,N/A
Warkworth,2330,2021-03-31,102034993
Wattle Ponds,2330,2021-03-31,N/A
